flow,origin,destination
16,36107,36087
27,36107,36097
77,36107,36101
9377,36107,36107
3058,36107,36109
15,36107,36111
35,36107,36119
41,36109,36001
6,36109,36003
227,36109,36007
339,36109,36011
10,36109,36013
458,36109,36015
20,36109,36017
1528,36109,36023
3,36109,36041
26,36109,36047
42,36109,36055
20,36109,36059
21,36109,36061
7,36109,36065
241,36109,36067
47,36109,36069
12,36109,36075
6,36109,36077
5,36109,36083
7,36109,36085
30,36109,36091
9,36109,36093
211,36109,36097
180,36109,36099
60,36109,36101
92,36109,36107
43590,36109,36109
14,36109,36119
22,36109,36123
501,36111,36001
222,36111,36005
9,36111,36007
392,36111,36021
90,36111,36025
9675,36111,36027
730,36111,36039
515,36111,36047
4,36111,36055
4,36111,36057
126,36111,36059
2011,36111,36061
8541,36111,36071
3,36111,36075
10,36111,36077
313,36111,36079
121,36111,36081
108,36111,36083
20,36111,36085
691,36111,36087
28,36111,36091
80,36111,36093
20,36111,36095
145,36111,36103
846,36111,36105
15,36111,36107
55761,36111,36111
7,36111,36113
998,36111,36119
15,36111,36121
899,36113,36001
10,36113,36003
2,36113,36007
32,36113,36019
361,36113,36031
6,36113,36033
67,36113,36035
22,36113,36039
67,36113,36041
9,36113,36043
13,36113,36047
9,36113,36055
26,36113,36057
20,36113,36059
49,36113,36061
13,36113,36065
24,36113,36071
12,36113,36081
180,36113,36083
32,36113,36085
12,36113,36087
3959,36113,36091
280,36113,36093
15,36113,36105
18,36113,36111
22718,36113,36113
1882,36113,36115
19,36113,36119
1426,36115,36001
3,36115,36007
5,36115,36019
21,36115,36021
9,36115,36023
270,36115,36031
6,36115,36035
9,36115,36039
4,36115,36043
20,36115,36047
4,36115,36055
3,36115,36057
12,36115,36059
33,36115,36061
12,36115,36065
5,36115,36067
687,36115,36083
7,36115,36087
3268,36115,36091
179,36115,36093
3,36115,36103
7048,36115,36113
12709,36115,36115
3,36117,36001
9,36117,36007
3,36117,36009
413,36117,36011
44,36117,36029
38,36117,36037
29,36117,36047
41,36117,36051
10,36117,36053
13617,36117,36055
9,36117,36063
36,36117,36065
480,36117,36067
4090,36117,36069
14,36117,36071
6,36117,36073
202,36117,36075
4,36117,36077
8,36117,36081
9,36117,36083
40,36117,36089
8,36117,36093
12,36117,36097
641,36117,36099
23,36117,36101
20,36117,36103
32,36117,36109
8,36117,36115
22166,36117,36117
50,36117,36123
20,36119,36001
30497,36119,36005
11,36119,36007
38,36119,36021
21,36119,36023
8,36119,36025
1200,36119,36027
23,36119,36029
59,36119,36031
30,36119,36039
24,36119,36043
19,36119,36045
5945,36119,36047
26,36119,36049
11,36119,36055
2108,36119,36059
87102,36119,36061
53,36119,36065
116,36119,36067
19,36119,36069
969,36119,36071
6,36119,36075
105,36119,36077
3101,36119,36079
6605,36119,36081
5,36119,36083
188,36119,36085
3430,36119,36087
42,36119,36091
26,36119,36095
6,36119,36101
912,36119,36103
74,36119,36105
24,36119,36109
152,36119,36111
63,36119,36115
282548,36119,36119
9,36121,36001
112,36121,36003
382,36121,36009
8,36121,36013
5,36121,36015
2,36121,36017
1,36121,36025
2,36121,36027
3488,36121,36029
1959,36121,36037
939,36121,36051
1051,36121,36055
30,36121,36061
43,36121,36063
10,36121,36067
30,36121,36069
35,36121,36073
4,36121,36075
14,36121,36099
25,36121,36101
9,36121,36117
8,36121,36119
9848,36121,36121
3,36123,36003
4,36123,36005
13,36123,36007
22,36123,36011
117,36123,36015
5,36123,36023
7,36123,36027
18,36123,36029
3,36123,36037
4,36123,36045
24,36123,36051
388,36123,36055
16,36123,36059
7,36123,36061
10,36123,36063
23,36123,36067
2422,36123,36069
23,36123,36073
24,36123,36091
314,36123,36097
324,36123,36099
334,36123,36101
6,36123,36105
57,36123,36107
4,36123,36109
63,36123,36117
6,36123,36121
6664,36123,36123
